iter	Passed	Remaining
0	33	33276
1	64	31350
2	93	30439
3	121	29740
4	151	29629
5	181	29392
6	211	29339
7	240	29178
8	269	29077
9	299	29029
10	329	29031
11	362	29227
12	393	29286
13	422	29177
14	452	29112
15	481	29017
16	511	28951
17	541	28932
18	571	28885
19	602	28938
20	635	29040
21	668	29124
22	701	29170
23	731	29135
24	765	29243
25	795	29204
26	827	29221
27	859	29224
28	891	29245
29	923	29253
30	955	29254
31	988	29288
32	1019	29262
33	1052	29270
34	1082	29236
35	1113	29205
36	1144	29173
37	1172	29065
38	1200	28974
39	1229	28890
40	1258	28813
41	1287	28743
42	1314	28652
43	1342	28561
44	1370	28480
45	1398	28392
46	1425	28303
47	1453	28221
48	1481	28150
49	1508	28063
50	1536	27992
51	1566	27951
52	1594	27881
53	1621	27811
54	1649	27738
55	1677	27686
56	1705	27622
57	1732	27545
58	1759	27473
59	1788	27421
60	1815	27346
61	1842	27286
62	1871	27240
63	1900	27194
64	1927	27139
65	1956	27091
66	1984	27038
67	2012	26991
68	2040	26946
69	2069	26905
70	2097	26859
71	2126	26815
72	2153	26755
73	2180	26701
74	2208	26648
75	2235	26596
76	2264	26555
77	2292	26509
78	2319	26457
79	2349	26433
80	2376	26381
81	2404	26334
82	2433	26296
83	2461	26254
84	2488	26207
85	2515	26154
86	2543	26104
87	2569	26043
88	2595	25983
89	2621	25928
90	2649	25879
91	2676	25829
92	2703	25780
93	2729	25723
94	2757	25684
95	2783	25633
96	2810	25581
97	2836	25531
98	2864	25490
99	2890	25439
100	2917	25390
101	2944	25345
102	2970	25295
103	2996	25239
104	3023	25193
105	3050	25148
106	3077	25109
107	3103	25060
108	3130	25017
109	3158	24979
110	3185	24937
111	3212	24893
112	3238	24845
113	3265	24802
114	3292	24762
115	3317	24712
116	3344	24667
117	3371	24626
118	3398	24587
119	3424	24542
120	3450	24497
121	3477	24460
122	3506	24432
123	3535	24405
124	3564	24383
125	3593	24354
126	3621	24324
127	3650	24296
128	3679	24271
129	3709	24251
130	3737	24223
131	3764	24181
132	3792	24152
133	3819	24116
134	3847	24080
135	3877	24062
136	3907	24041
137	3935	24014
138	3966	23998
139	3995	23972
140	4024	23944
141	4052	23918
142	4081	23887
143	4109	23857
144	4136	23822
145	4165	23795
146	4193	23763
147	4221	23732
148	4250	23708
149	4280	23683
150	4309	23658
151	4338	23634
152	4370	23621
153	4398	23590
154	4427	23565
155	4456	23538
156	4484	23507
157	4513	23479
158	4541	23448
159	4568	23411
160	4595	23379
161	4623	23345
162	4651	23314
163	4678	23278
164	4706	23245
165	4734	23218
166	4763	23190
167	4792	23162
168	4821	23136
169	4850	23108
170	4877	23074
171	4906	23050
172	4937	23031
173	4967	23008
174	4997	22987
175	5026	22962
176	5055	22934
177	5083	22904
178	5111	22873
179	5139	22843
180	5170	22826
181	5198	22793
182	5226	22762
183	5254	22729
184	5283	22705
185	5312	22678
186	5340	22646
187	5367	22614
188	5395	22581
189	5422	22548
190	5450	22514
191	5478	22485
192	5506	22455
193	5535	22428
194	5566	22407
195	5593	22375
196	5620	22340
197	5648	22309
198	5676	22279
199	5704	22246
200	5732	22216
201	5761	22189
202	5790	22162
203	5817	22130
204	5845	22100
205	5874	22072
206	5903	22044
207	5932	22019
208	5963	21998
209	5991	21968
210	6020	21940
211	6046	21906
212	6076	21879
213	6105	21852
214	6132	21820
215	6160	21791
216	6188	21759
217	6216	21730
218	6244	21698
219	6272	21667
220	6299	21635
221	6328	21607
222	6355	21573
223	6386	21555
224	6414	21522
225	6440	21487
226	6466	21450
227	6493	21418
228	6521	21385
229	6546	21348
230	6573	21314
231	6599	21276
232	6624	21237
233	6649	21199
234	6675	21163
235	6703	21131
236	6729	21097
237	6756	21064
238	6783	21031
239	6809	20996
240	6835	20961
241	6862	20928
242	6889	20896
243	6916	20861
244	6942	20826
245	6969	20794
246	6995	20760
247	7022	20727
248	7048	20693
249	7075	20660
250	7102	20626
251	7128	20593
252	7154	20559
253	7182	20528
254	7208	20494
255	7234	20459
